,,,མ་ཚིག,,,,,,,,,,,,,,,,,,,,,,,
,,,ཀ་བ,,,,ཀ་ཆུང་,ཀ་མགོ,,ཀ་ཆེན,,,,,,ཀ་རྡོ,,,,ཀ་ཐོག,,,,,,
,,,ག་པར,,,,,ག་པ,,ག་བ,,ག་པར,,,,,,ག་ནས,,,,ག་རུ,,,,
,,,ག་ཚོད,,ག་ཚོད་ཙམ,,ག་གམ,,,,,,,,,,,,,,,,,,,
2|4,,,ག་,POST,244,ག་ཚོད,116,ག་པ,78,ག་བ,67,ག་པར,10,ག་ས,8,ག་ཚད,7,ག་ནས,2,ག་རང,1,ག་རུ,1,ག་འབྲི,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,གཉེན་སྒྲིག,,,,,,,གཉེན་ཉེ,གཉེན་རྟགས,གཉེན་ཚང,,གཉེན་ཚན,,གཉེན་སྟོན,,གཉེན་གྲོགས,,གཉེན་འབྲེལ,,གཉེན་ཆང,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,གནམ་གྲུ,,,,གནམ་ཐང,,,,,,,,,,,,,,
,,,གནམ་,,,གནམ་གཤིས,,ནམ་མཁའ,,གནམ་ས,,,,གནམ་ཆར,,,,གནམ་འོག,,གནམ་ལྕགས,,གནམ་བདག,,གནམ་མདའ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,གཟུགས་པོ,,,གཟུགས་པོ,,གཟུགས་སྟོབས,,གཟུགས་མེད,,གཟུགས་རིས,,གཟུགས་བརྙན,,གཟུགས་མཛེས,,གཟུགས་ཉིད,,གཟུགས་དབྱིབས,,གཟུགས་བྱད,,གཟུགས་གཞི,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,གྲུབ་ཆ,,,,,གྲུབ་འབྲས,,,,གྲུབ་ཆ,,གྲུབ་དོན,གྲུབ་ལུགས,,,གྲུབ་རྐྱེན,,,,གྲུབ་ཚུལ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,གསོ་རིག,,,གསོ་སྦྱོང,,གསོ་རིག,,གསོ་བ,,གསོ་སྐྱོང,,གསོ་དཔྱད,,གསོ་བྱེད,,གསོ་རིགས,,གསོ་བྱ,,གསོ་འདོད,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,གོས་སློག,,,གོས་སློག,,གོས་ཐུང,,གོས་ཆེན,,གོས་མཐའ,,གོས་དཀར,,གོས་སྟོད,,,,གོས་རྙིང,,གོས་ལྷམ,,གོས་སྒམ,,
,,,དད་,,,དད་པ,12,དད་ལོག,8,དད་ལྡན,4,དད་མོས,4,དད་རྟེན,2,དད་འབུལ,2,དད་མཆོད,2,དད་རྫས,1,དད་ཞེན,1,དད་སྦྱིན,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,དབྱར་ཁ,,,དབྱར་ཁ,,,,,,དབྱར་ཟླ,,དབྱར་ཀ,,,,དབྱར་གཞུང,,དབྱར་སྟོད།,,དབྱར་སྨད།,,,,
,,,དབུས་གཙང,་།,,དབུས་གཙང,་།,,,དབུས་མོ།,,དབུས་སྐད།,,དབུས་ཕྱོགས།,,དབུས་ཆས།,,དབུས་པ།,,དབུས་ལམ།,,དབུས་ཁུལ།,,,,
,,,དམངས་ཁྲོད,,,དམངས་ཁྲོད,,དམངས་གཙོ,,དམངས་སྲོལ,,དམངས་རིགས,,དམངས་རྩལ,,,,དམངས་གཞས,,དམངས་གཉེར,,དམངས་ཡོངས,,དམངས་སྒྲུབ,,
,,,དྲན་པ,,,དྲན་པ,,དྲན་རྟེན,,དྲན་གསོ,,དྲན་ཚུལ,,དྲན་ཤེས,,དྲན་མེད,,དྲན་སྐུལ,,དྲན་ས,,དྲན་ཡུལ,,,,
,,,ནད་པ,,,ནད་པ,,ནད་གཞི,4,ནད་རིགས,,ནད་གཡོག,,ནད་འབུ,,ནད་འགོག,,ནད་མེད,,ནད་མུག,,ནད་ཐོག,,ནད་བབས,,
,,,བཙན་འཛུལ།,,,བཙན་བྱོལ།,,བཙན་པོ།,,བཙན་ཤེད།,,བཙན་འཛུལ,།,བཙན་གནོན།,,བཙན་རྒོད།,,བཙན་འཕྲོག,,,བཙན་གཡེམ།,,,བཙན་གཏམ,།,བཙན་བཟུང་།
,,,བྲག,,,བྲག་སྟེང,,བྲག་ཕུག,,བྲག་དཀར,,བྲག་འགོ,,བྲག་བརྐོས,,བྲག་ཁུང,,བྲག་དམར,,བྲག་ལས,,བྲག་རྩེ,,བྲག་རོང,བྲག་རིི,བྲག་རྩ།
