,,,མ་,,མ་ཟད,,མ་གཞི,,,,མ་ལག,,མ་རྩ,མ་དངུལ,,མ་མཐའ,མ་ཡིག,,མ་ཚད,,,,,,,,,,,,,,,,,,,,,,,,,མ་དཔེ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་ཡུམ,,མ་རྩོམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་དེབ,,,,,,མ་ཁྱིམ,,,,མ་ལུས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་རྒན
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,མི་རིགས,མི་སྐྱ,མི་དམངས,,མི་ལུས,མི་གཞི,,མི་ཆེན,མི་ལོ,,མི་ཆོས,མི་གྲངས,མི་རབས,མི་ཚོ,མི་སྡེ,,མི་ཡུལ,,མི་ཚང,མི་སེར,,མི་འབོར,མི་སྐྱེ,,,མི་རྒོད,,མི་ཁ,མི་ཚོགས,,,,,མི་རྒན,,མི་གཤིས,མི་ཤུགས,,,མི་ངན,,,,,,,,,,,,,,,,,,,,,,མི་བུ,,མི་བཟང,,,,,,,,མི་སྡུག,,,,,,,,,,,,,,,,,,མི་སེམས,,,,,,མི་རྒྱུད,,,,,,,,མི་གཡང,,,,,,,,,,,,,,,,མི་མགོ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ཁ་,,,,ཁ་པར,,,,,ཁ་བརྡ,,ཁ་སྐད,ཁ་ཟས,,ཁ་འདོན,,,,,,,ཁ་དཔེ,ཁ་རྩོད,,,,,ཁ་བཏོན,ཁ་ལོག,,,,,ཁ་ཆེ,,,ཁ་སྐོམ,,ཁ་རླངས,,ཁ་འཛིང,,,,,,,,,,,ཁ་སྲོལ,,ཁ་ངན,,,,,,,,,,,,,,,,ཁ་ཆུ,,,,ཁ་བཤད,,,,ཁ་ལེན,,ཁ་དམག,,,,ཁ་རྒྱུན,,,,,,ཁ་དྲོ,,ཁ་གཡང,,,,ཁ་མིག,,ཁ་སྤུ,,ཁ་ལས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70/1091,,,ཁ་,POST,ཁ་སང,ཁ་ལག,,ཁ་དོག,ཁ་ཏོན,ཁ་ཐུག,ཁ་ཐུག,,ཁ་བ,,,ཁ་བྱང,,ཁ་ཕྱོགས,ཁ་གཏད,ཁ་ཚར,ཁ་མདོག,ཁ་པ,ཁ་རྩང,,,ཁ་ཉིན,ཁ་ཆད,ཁ་གསབ,ཁ་ཕྱི,,,ཁ་གྲངས,ཁ་རུ,ཁ་པོ,ཁ་སྟེང,,ཁ་ཙམ,ཁ་རྡུང,,ཁ་ཁ,,ཁ་གདན,,ཁ་བོ,2,ཁ་མཐུན,2,ཁ་ཏོག,2,ཁ་ལོ,2,ཁ་སྣོན,,,,,1,ཁ་ཁྲལ,1,ཁ་ས,1,ཁ་ལེབ,1,ཁ་བྲལ,1,ཁ་ཚང,1,ཁ་རྐྱང,1,ཁ་ཕོ,,,1,ཁ་ཞིང,,,1,ཁ་རུབ,,,,,1,ཁ་སྒང,,,1,ཁ་རོགས,1,ཁ་ཁུར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62/457,,,ཆོས་,POST,ཆོས་ལུགས,ཆོས་ཕྱོགས,ཆོས་དུང,ཆོས་ཅན,ཆོས་ཉིད,ཆོས་ཚོགས,ཆོས་བརྒྱུད,ཆོས་པ,ཆོས་དཔེ,ཆོས་འབྱུང,ཆོས་རྒྱལ,ཆོས་གོས,ཆོས་རྒྱུད,ཆོས་སྐྱོང,ཆོས་སྲིད,ཆོས་རྗེ,ཆོས་སྡེ,ཆོས་གཞུང,ཆོས་ལགས,ཆོས་འཕེལ,ཆོས་ཐོག,ཆོས་འཁོར,ཆོས་སྒོ,ཆོས་དར,ཆོས་མཐུན,ཆོས་ཁང,ཆོས་མཚམས,,,,,ཆོས་སྟོན,ཆོས་རིག,ཆོས་གྲགས,ཆོས་གྲོགས,ཆོས་འབྲེལ,ཆོས་སྐོར,,ཆོས་མཇལ,ཆོས་ཤེས,1,ཆོས་ཞེན,1,ཆོས་དཔོན,,,,,1,ཆོས་སྐུ,1,ཆོས་སྐལ,,,,,1,ཆོས་ཚན,1,ཆོས་བྱེད,,,,,1,ཆོས་ཚུལ,1,ཆོས་ཡུལ,1,ཆོས་གྲྭ,1,ཆོས་ས,1,ཆོས་དད,,,1,ཆོས་བཤད,1,ཆོས་སྲུང,,,1,ཆོས་ཁྲིད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ས་བཅད,,,,ས་བྲིས,ས་བོན,,,ས་ལམ,,,,,,,,,,,,,,,ས་མིག,,,,,,,,,,,,,,,,,,,,,ས་ཡིག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61/368,,,ས་,POST,ས་ཆ,ས་ཁུལ,,,ས་ཚིགས,,ས་གཞི,ས་ཞིང,ས་མཐོ,,,ས་ཕྱོགས,ས་ཕག,ས་ལམ,ས་ངན,ས་མཚམས,ས་སེར,ས་འོག,ས་གདན,ས་སྟེང,ས་བབ,ས་ངོས,ས་དམར,ས་མཐའ,ས་ཁོངས,ས་གཙང,ས་མགོ,ས་བབས,,ས་གཤིས,ས་རྒྱུས,ས་རྩོད,ས་དཀར,ས་རྒྱུ,ས་དཔྱད,ས་སྨད,ས་རྡོ,,,ས་རྡུལ,1,ས་ཁམས,1,ས་ཆེན,1,ས་ཁ,1,ས་ཆུ,,,1,ས་ཁྱོན,1,ས་ཆོད,1,ས་བཤད,1,ས་གནོན,1,ས་བཟང,1,ས་ཡུལ,1,ས་འབྱུང,1,ས་ཚུགས,1,ས་ཚུར,1,ས་རྟགས,1,ས་རིམ,1,ས་དྲོད,1,ས་གླང,1,ས་ནས,1,ས་འགུལ,1,ས་བདག,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,རང་འཇགས,,,,,,རང་འཇགས,,,,,,,,,,,,,,རང་དགར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,རང་རྒྱལ,,,,,,,རང་རྒྱལ,,,,རང་བཙན,རང་སྐྱོང,,,,,,རང་ལྗོངས,,,,,,,,,,,,,རང་སྡེ,,རང་ས,,རང་གཞུང,,,རང་ཕྱོགས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
